C,l1_ratio,top_k,n_estimators,max_depth,mean_accuracy,mean_balanced_accuracy,mean_f1
0.01,0.3,20,100,10.0,0.45,0.4355555555555556,0.40429740215924426
0.01,0.3,20,100,,0.45,0.4355555555555556,0.40429740215924426
0.01,0.5,20,100,,0.45,0.4355555555555556,0.40429740215924426
0.01,0.5,20,300,5.0,0.4375,0.42000000000000004,0.3933996449456976
0.01,0.5,20,100,5.0,0.4375,0.4222222222222222,0.3916666666666666
0.01,0.3,20,300,5.0,0.4375,0.42000000000000004,0.3933996449456976
0.01,0.5,20,300,10.0,0.4375,0.4222222222222222,0.3942258691600797
0.01,0.7,20,300,5.0,0.4375,0.42000000000000004,0.3933996449456976
0.01,0.3,20,300,10.0,0.4375,0.4222222222222222,0.3942258691600797
0.01,0.3,20,300,,0.4375,0.4222222222222222,0.3942258691600797
0.01,0.3,20,100,5.0,0.4375,0.4222222222222222,0.3916666666666666
0.01,0.5,20,300,,0.4375,0.4222222222222222,0.3942258691600797
0.01,0.7,20,100,5.0,0.4375,0.4222222222222222,0.3916666666666666
0.01,0.7,20,300,,0.4375,0.4222222222222222,0.3942258691600797
0.01,0.7,20,300,10.0,0.4375,0.4222222222222222,0.3942258691600797
0.01,0.3,100,300,5.0,0.425,0.42666666666666664,0.4147083472083472
0.01,0.7,100,300,5.0,0.425,0.42666666666666664,0.4147083472083472
0.01,0.5,100,300,5.0,0.425,0.42666666666666664,0.4147083472083472
0.01,0.7,50,100,10.0,0.4125,0.40444444444444444,0.3896403882065647
0.01,0.7,50,100,5.0,0.4125,0.4044444444444445,0.38520537877155525
0.01,0.5,50,100,10.0,0.4125,0.40444444444444444,0.3896403882065647
0.01,0.5,50,100,5.0,0.4125,0.4044444444444445,0.38520537877155525
0.01,0.3,50,100,5.0,0.4125,0.4044444444444445,0.38520537877155525
0.01,0.3,50,100,10.0,0.4125,0.40444444444444444,0.3896403882065647
0.01,0.7,100,100,10.0,0.4,0.4022222222222222,0.37212606837606843
0.01,0.3,100,100,10.0,0.4,0.4022222222222222,0.37212606837606843
0.01,0.5,100,100,10.0,0.4,0.4022222222222222,0.37212606837606843
0.01,0.7,50,100,,0.3875,0.38,0.36464038820656464
0.01,0.5,50,100,,0.3875,0.38,0.36464038820656464
0.01,0.5,100,300,10.0,0.3875,0.3888888888888889,0.370081650375768
0.01,0.3,100,300,10.0,0.3875,0.3888888888888889,0.370081650375768
0.01,0.3,50,100,,0.3875,0.38,0.36464038820656464
0.01,0.7,100,300,10.0,0.3875,0.3888888888888889,0.370081650375768
0.01,0.7,50,300,5.0,0.375,0.36888888888888893,0.3481151487401487
0.01,0.5,50,300,5.0,0.375,0.36888888888888893,0.3481151487401487
0.01,0.7,100,100,,0.375,0.37555555555555553,0.3518469847146318
0.01,0.7,100,300,,0.375,0.37555555555555553,0.3548917708108884
0.01,0.7,50,300,,0.375,0.3666666666666667,0.35250999000999
0.01,0.7,50,300,10.0,0.375,0.3666666666666667,0.35250999000999
0.01,0.5,50,300,10.0,0.375,0.3666666666666667,0.35250999000999
0.01,0.3,50,300,,0.375,0.3666666666666667,0.35250999000999
0.01,0.3,100,300,,0.375,0.37555555555555553,0.3548917708108884
0.01,0.3,100,100,,0.375,0.37555555555555553,0.3518469847146318
0.01,0.3,50,300,5.0,0.375,0.36888888888888893,0.3481151487401487
0.01,0.3,50,300,10.0,0.375,0.3666666666666667,0.35250999000999
0.01,0.5,100,100,,0.375,0.37555555555555553,0.3518469847146318
0.01,0.5,50,300,,0.375,0.3666666666666667,0.35250999000999
0.01,0.5,100,300,,0.375,0.37555555555555553,0.3548917708108884
